code,standalone_output,dependent_output
ar,အာ,ာ
i,အိ,ိ
ii,အီ,ီ
u,အု,ု
uu,အူ,ူ
ay,အေ,ေ
ae,အဲ,ဲ
o,အို,ို
aw,အော,ော
in,အင်,င်
ing,အင်္,င်္
an,အန်,န်
an,အံ,ံ
an,အန်း,န်း
at,အတ်,တ်
ak,အက်,က်
it,အစ်,စ်
inn,အင်း,င်း
a,အ,
ar,အာ,ာ
i,ဣ,ိ
ii,ဤ,ီ
ee,အီး,ီး
u,ဥ,ု
uu,ဦ,ူ
e,အေ,ေ
ai,အဲ,ဲ
o,အို,ို
aw,ဩ,ော
an,အန်,န်
in,အင်,င်
un,အွန်,ွန်
at,အတ်,တ်
it,အစ်,စ်
ut,အုတ်,ုတ်
am,အမ်,မ်
im,အိမ်,ိမ်
om,အုံး,ုံး
