roman,burmese,rank,source
khel,ခဲ,560,user-confirmed
kualalumpur,ကွာလာလမ်ပူ,450,country-capital
kuwait,ကူဝိတ်,450,country-capital
kuwaitcity,ကူဝိတ်စီးတီး,450,country-capital
laos,လာအို,450,country-capital
lat,လက်,560,user-confirmed
magway,မကွေး,450,myanmar-region
malaysia,မလေးရှား,450,country-capital
maldives,မော်လ်ဒိုက်,450,country-capital
male,မာလေး,450,country-capital
mandalay,မန္တလေး,450,myanmar-region
manila,မနီလာ,450,country-capital
mexico,မက္ကဆီကို,450,country-capital
mexicocity,မက္ကဆီကိုစီးတီး,450,country-capital
mhya,မျှ,560,user-confirmed
mon,မွန်,450,myanmar-region
mongolia,မွန်ဂိုလီးယား,450,country-capital
mya,မျှ,560,user-confirmed
myanmar,မြန်မာ,450,country-capital
naypyidaw,နေပြည်တော်,450,country-capital
nepal,နီပေါ,450,country-capital
newdelhi,နယူးဒေလီ,450,country-capital
nhr,နှာ,560,user-confirmed
north-korea,မြောက်ကိုရီးယား,450,country-capital
northkorea,မြောက်ကိုရီးယား,450,country-capital
ote,အုတ်,560,user-confirmed
ote,အုပ်,550,user-confirmed
ottawa,အော့တဝါ,450,country-capital
pakistan,ပါကစ္စတန်,450,country-capital
pal,ပါယ်,560,user-confirmed
phaye,ဖြည်း,560,user-confirmed
phaye,ဖြေး,550,user-confirmed
philippines,ဖိလစ်ပိုင်,450,country-capital
phnompenh,ဖနွမ်းပင်,450,country-capital
phyae,ဖြည်း,560,user-confirmed
phyae,ဖြေး,550,user-confirmed
phyay,ဖြည်း,560,user-confirmed
phyay,ဖြေး,550,user-confirmed
pyaw,ပျော်,560,user-confirmed
pyongyang,ပြုံယမ်း,450,country-capital
pyw,ပျော်,560,user-confirmed
qatar,ကာတာ,450,country-capital
rakhine,ရခိုင်,450,myanmar-region
riyadh,ရီယာ့ဒ်,450,country-capital
sagaing,စစ်ကိုင်း,450,myanmar-region
sak,ဆက်,560,user-confirmed
sak,စက်,550,user-confirmed
sak,ဆတ်,540,user-confirmed
sak,စပ်,530,user-confirmed
sap,စပ်,560,user-confirmed
sap,ဆက်,550,user-confirmed
sap,စက်,540,user-confirmed
sap,ဆတ်,530,user-confirmed
sat,စက်,560,user-confirmed
sat,ဆတ်,550,user-confirmed
sat,ဆက်,540,user-confirmed
sat,စပ်,530,user-confirmed
saudi-arabia,ဆော်ဒီအာရေဗျ,450,country-capital
saudiarabia,ဆော်ဒီအာရေဗျ,450,country-capital
say,ဆေး,560,user-confirmed
seoul,ဆိုးလ်,450,country-capital
shan,ရှမ်း,450,myanmar-region
shouk,လျှောက်,560,user-confirmed
shouk,လျောက်,550,user-confirmed
shout,လျှောက်,560,user-confirmed
shout,လျောက်,550,user-confirmed
singapore,စင်ကာပူ,450,country-capital
south-korea,တောင်ကိုရီးယား,450,country-capital
southkorea,တောင်ကိုရီးယား,450,country-capital
sri-lanka,သီရိလင်္ကာ,450,country-capital
srijayawardenepurakotte,သီရိဂျယဝါဒနပူရကိုဋ္ဋေ,450,country-capital
srilanka,သီရိလင်္ကာ,450,country-capital
swa,ဆွ,560,user-confirmed
swar,ဆွာ,560,user-confirmed
sy,ဆေး,560,user-confirmed
syy,ဆေး,560,user-confirmed
ta,ဋ,560,user-confirmed
tanintharyi,တနင်္သာရီ,450,myanmar-region
tehran,တီဟီရန်,450,country-capital
thailand,ထိုင်း,450,country-capital
thimphu,သင်ဖူး,450,country-capital
tokyo,တိုကျို,450,country-capital
turkey,တူရကီ,450,country-capital
twa,သွား,560,user-confirmed
twa,သွ,550,user-confirmed
uae,အာရပ်စော်ဘွားများပြည်ထောင်စု,450,country-capital
ulaanbaatar,အူလန်ဘာတာ,450,country-capital
unitedarabemirates,အာရပ်စော်ဘွားများပြည်ထောင်စု,450,country-capital
unitedstates,အမေရိကန်ပြည်ထောင်စု,450,country-capital
usa,အမေရိကန်ပြည်ထောင်စု,450,country-capital
vientiane,ဗီယင်ကျန်း,450,country-capital
vietnam,ဗီယက်နမ်,450,country-capital
vye,ဗျည်း,560,user-confirmed
vye,ဗျီး,550,user-confirmed
vye,ဗြီး,540,user-confirmed
washingtondc,ဝါရှင်တန် ဒီစီ,450,country-capital
x,အိပ်,560,user-confirmed
x,အိတ်,550,user-confirmed
y,ရ,560,user-confirmed
y,ယ,550,user-confirmed
yangon,ရန်ကုန်,450,myanmar-region
ywa,ရွ,560,user-confirmed
ywr,ရွာ,560,user-confirmed
za,ဈ,560,user-confirmed
