roman,burmese,rank,source
abudhabi,အဘူဒါဘီ,450,country-capital
ae,ဧည့်,560,user-confirmed
ankara,အန်ကာရာ,450,country-capital
astana,အက်စတာနာ,450,country-capital
ate,အိပ်,560,user-confirmed
ate,အိတ်,550,user-confirmed
ayeyarwady,ဧရာဝတီ,450,myanmar-region
baghdad,ဘဂ္ဂဒက်,450,country-capital
bago,ပဲခူး,450,myanmar-region
bandarseribegawan,ဘန်ဒါဆရီဘီဂါဝန်,450,country-capital
bangkok,ဘန်ကောက်,450,country-capital
bangladesh,ဘင်္ဂလားဒေ့ရှ်,450,country-capital
beijing,ပေကျင်း,450,country-capital
bhutan,ဘူတန်,450,country-capital
brunei,ဘရူနိုင်း,450,country-capital
bwa,ဘဝ,560,user-confirmed
bye,ဗျည်း,560,user-confirmed
bye,ဗျီး,550,user-confirmed
bye,ဗြီး,540,user-confirmed
byee,ဗျည်း,560,user-confirmed
byee,ဗျီး,550,user-confirmed
byee,ဗြီး,540,user-confirmed
byi,ဗျည်း,560,user-confirmed
byi,ဗျီး,550,user-confirmed
byi,ဗြီး,540,user-confirmed
byii,ဗျည်း,560,user-confirmed
byii,ဗျီး,550,user-confirmed
byii,ဗြီး,540,user-confirmed
cairo,ကိုင်ရို,450,country-capital
cambodia,ကမ္ဘောဒီးယား,450,country-capital
canada,ကနေဒါ,450,country-capital
chin,ချင်း,450,myanmar-region
china,တရုတ်,450,country-capital
da,ဍ,560,user-confirmed
da,ဎ,550,user-confirmed
dhaka,ဒါကာ,450,country-capital
doha,ဒိုဟာ,450,country-capital
egypt,အီဂျစ်,450,country-capital
ga,ဃ,560,user-confirmed
gyr,ကြား,560,user-confirmed
gyr,ခြား,550,user-confirmed
gyrr,ကြား,560,user-confirmed
gyrr,ခြား,550,user-confirmed
hanoi,ဟနွိုင်း,450,country-capital
hlwa,လွှ,560,user-confirmed
hnr,နှာ,560,user-confirmed
india,အိန္ဒိယ,450,country-capital
indonesia,အင်ဒိုနီးရှား,450,country-capital
iran,အီရန်,450,country-capital
iraq,အီရတ်,450,country-capital
islamabad,အစ္စလာမာဘတ်,450,country-capital
jakarta,ဂျကာတာ,450,country-capital
japan,ဂျပန်,450,country-capital
kachin,ကချင်,450,myanmar-region
kathmandu,ခတ္တမန္ဒူ,450,country-capital
kaya,ကယား,450,myanmar-region
kayah,ကယား,450,myanmar-region
kayin,ကရင်,450,myanmar-region
kazakhstan,ကာဇက်စတန်,450,country-capital
