roman,burmese,rank,source
hline,လှိုင်,70,forward
hlwan,လွှမ်း,70,forward
hlwar,လွှာ,70,forward
hlwin,လွှင်,70,forward
hlyan,လျှံ,70,forward
hlyap,လျှပ်,70,forward
hlyat,လျှပ်,70,forward
hlyin,လျှင်,70,forward
hmaine,မှိုင်,70,forward
hman,မှန်,70,forward
hmar,မှာ,70,forward
hmat,မှတ်,70,forward
hmaung,မှောင်,70,forward
hme,မှီ,70,forward
hmi,မှီ,70,forward
hmine,မှိုင်း,70,forward
hmone,မှုံ,70,forward
hmoo,မှူး,70,forward
hmooe,မှူး,70,forward
hmoon,မွှန်း,70,forward
hmu,မှု,70,forward
hmue,မှူး,70,forward
hmway,မွှေး,70,forward
hmwe,မွှေး,70,forward
hmyar,မျှား,70,forward
hmyaung,မြှောင်,70,forward
hmyaw,မျှော်,70,forward
hna,နှာ,70,forward
hnam,နှဲမ်,70,forward
hname,နှဲမ်း,70,forward
hnaung,နှောင်း,70,forward
hnaw,နှော,70,forward
hnie,နှီး,70,forward
hnim,နှင်မ်,70,forward
hnin,နှင်း,70,forward
hnine,နှိုင်း,70,forward
hnit,နှစ်,70,forward
hnyar,ညှာ,70,forward
hnyin,ညှင်း,70,forward
hnyun,ညွှန်း,70,forward
hnyunt,ညွှန့်,70,forward
ho,ဟန်,70,forward
hoe,ဟိုး,70,forward
hone,ဟုန်း,70,forward
hose,ဟို့စ်,70,forward
hote,ဟုတ်,70,forward
hpang,ဖန်,70,forward
hpone,ဖုန်း,70,forward
hsal,ဆယ်,70,forward
hsan,ဆန်း,70,forward
hsel,ဆဲ,70,forward
hseng,ဆိုင်း,70,forward
hset,ဆက်,70,forward
hsu,ဆု,70,forward
hsue,ဆူး,70,forward
hta,ထ,70,forward
htae,ထဲ,70,forward
htai,ထိုင်,70,forward
htaik,ထိုက်,70,forward
htain,ထိန်,70,forward
htaing,ထိုင်,70,forward
htainn,ထိန်း,70,forward
htake,ထိပ်,70,forward
htal,ထည်,70,forward
htan,ထန်း,70,forward
htane,ထိန်း,70,forward
htann,ထန်း,70,forward
htant,ထန့်,70,forward
htap,ထပ်,70,forward
htar,ထား,70,forward
htat,ထက်,70,forward
htate,ထိပ်,70,forward
htaung,ထောင်း,70,forward
htaw,ထော,70,forward
htay,ဌေး,70,forward
htee,ထီး,70,forward
htein,ထိန်,70,forward
htet,ထက်,70,forward
hti,ထီ,70,forward
htike,ထိုက်,70,forward
htin,ထင်,70,forward
htoe,ထိုး,70,forward
htoi,ထွယ်,70,forward
htoo,ထူး,70,forward
htoon,ထွန်း,70,forward
htu,ထု,70,forward
htue,ထူး,70,forward
htun,ထွန်း,70,forward
htut,ထွဋ်,70,forward
htwal,ထွယ်,70,forward
htwar,ထွာ,70,forward
htway,ထွေး,70,forward
htwe,ထွေး,70,forward
hu,ဟူ,70,forward
hue,ဟူး,70,forward
huu,ဟူး,70,forward
hwa,ဟွ,70,forward
hwan,ဟွမ်,70,forward
hwun,ဟွမ်း,70,forward
